bank_txn_id,erp_txn_id,reference_no,net_amount,transaction_date_bank,transaction_date_erp,date_difference_days,match_status
B001,E001,INV1001,125000.0,2026-05-01,2026-05-01,0,MATCHED
B002,E002,PAY789,-85000.0,2026-05-02,2026-05-02,0,MATCHED
B003,E003,INV1002,76000.0,2026-05-03,2026-05-03,0,MATCHED
B005,E004,INV1003,98000.0,2026-05-05,2026-05-05,0,MATCHED
B006,E004,INV1003,98000.0,2026-05-06,2026-05-05,1,MATCHED
B007,E005,AP556,-45000.0,2026-05-07,2026-05-07,0,MATCHED
B009,E006,PAYROLL,-120000.0,2026-05-09,2026-05-09,0,MATCHED
B010,E007,INV1004,32000.0,2026-05-11,2026-05-10,1,MATCHED
B011,E008,AP557,-62000.0,2026-05-12,2026-05-12,0,MATCHED
B013,E009,INV1005,110000.0,2026-05-14,2026-05-14,0,MATCHED
B014,E009,INV1005,110000.0,2026-05-14,2026-05-14,0,MATCHED
B015,E010,INV1006,54000.0,2026-05-15,2026-05-15,0,MATCHED
